Family,Method,Metric,LowDimension,HighDimension,ValidN,LowMedian,HighMedian,MedianDelta,MeanDelta,StdDelta,PositiveDeltaCount,NegativeDeltaCount,ZeroDeltaCount
MW7,offline_RF_proxy,BalancedBrier,4,6,5,0.280328817844983,0.340957200090857,0.0836277081550801,0.0292396802391378,0.0949972781707238,3,2,0
MW7,offline_RF_proxy,ECE10,4,6,5,0.0599532382198118,0.0197692670267095,-0.0157083560423876,-0.0135418064253672,0.0540539779374518,2,3,0
MW7,offline_RF_proxy,BalancedAccuracy,4,6,5,0.600176271305062,0.591150203413133,-0.0090260678919295,-0.00927126968273835,0.112107308434145,2,3,0
MW7,offline_RF_proxy,BalancedError,4,6,5,0.399823728694938,0.408849796586867,0.00902606789192945,0.00927126968273833,0.112107308434145,3,2,0
MW7,offline_RF_proxy,FalsePositiveRate,4,6,5,0.00995652000478679,0.00213073089828543,-0.00987973690935308,-0.00386005199449591,0.0105495914887148,1,4,0
MW7,offline_RF_proxy,FalseNegativeRate,4,6,5,0.786886677143356,0.815568862275449,0.0286821851320931,0.0224025913599726,0.233570096732251,3,2,0
MW7,offline_RF_proxy,FalseDiscoveryRate,4,6,5,0.44964200477327,0.643105446118192,0.0759068645579086,0.136326610407449,0.201987151029447,4,1,0
MW7,offline_RF_proxy,DomainError,4,6,5,0.0428886413574219,0.00731277465820312,-0.0349922180175781,-0.0336402893066406,0.00679587466710211,0,5,0
MW7,offline_RF_proxy,ConfidentFalsePositiveRate,4,6,5,0.000386932067493717,0.000188118583812588,-0.000219544306874172,-0.000140408185839035,0.00228944714502111,2,3,0
MW7,offline_RF_proxy,ConfidentFalseNegativeRate,4,6,5,0.601187358128165,0.761676646706587,0.160489288578422,0.0746276331569443,0.304899422846003,3,2,0
MW7,offline_RF_proxy,PredictedFeasibleRate,4,6,5,0.021514892578125,0.00329208374023438,-0.0182228088378906,-0.0107368469238281,0.0147494599131045,1,4,0
MW7,offline_RF_proxy,AmbiguousRate,4,6,5,0.0474090576171875,0.00807952880859375,-0.0326881408691406,-0.0304161071777344,0.0341781037466085,2,3,0
MW7,offline_RF_proxy,ZeroMass,4,6,5,0.00087738037109375,0.245529174804688,0.243148803710938,0.125318908691406,0.175004048202862,4,1,0
MW7,offline_RF_proxy,OneMass,4,6,5,0,0,0,0,0,0,0,5
