Quantity,Input,GridIndex,InputScaled,InputPhysical,Mean,Median,Q10,Q90
HVI_draw,1,29,0.933333333333333,4.675,0.268774411551196,0,0,0.812469487657991
HVI_draw,1,30,0.966666666666667,4.8375,0.267007851263959,0,0,0.876387045020538
HVI_draw,1,31,1,5,0.2167818461518,0,0,0.649731439907892
HVI_draw,2,1,0,0.1,1.63863133841013,0.399783897293616,0,5.55409193364856
HVI_draw,2,2,0.0333333333333333,0.43,1.09933068870388,0.509925523821511,0,3.88233343006024
HVI_draw,2,3,0.0666666666666667,0.76,1.05630517717714,0.575724942371145,0,2.60311577747099
HVI_draw,2,4,0.1,1.09,0.941988793794146,0.376714485880081,0,2.89985058591399
HVI_draw,2,5,0.133333333333333,1.42,0.693316188013037,0.175293549531589,0,2.21476229360762
HVI_draw,2,6,0.166666666666667,1.75,0.698648272079984,0.244196341129213,0,2.05993882475943
HVI_draw,2,7,0.2,2.08,0.746066231526854,0.131843751928273,0,2.2159814026992
HVI_draw,2,8,0.233333333333333,2.41,0.632283084204168,0.0679970855831415,0,1.58587248991923
HVI_draw,2,9,0.266666666666667,2.74,0.691225926482565,0,0,1.81470548318155
HVI_draw,2,10,0.3,3.07,0.713965745574203,0.175745977690789,0,1.7853523591493
HVI_draw,2,11,0.333333333333333,3.4,0.454368282771381,0,0,1.66678482590557
HVI_draw,2,12,0.366666666666667,3.73,0.320875013774972,0,0,0.990118280686898
HVI_draw,2,13,0.4,4.06,0.338425001368207,0,0,0.867942655011099
HVI_draw,2,14,0.433333333333333,4.39,0.341305797786583,0,0,1.02057943392105
HVI_draw,2,15,0.466666666666667,4.72,0.305727359217253,0,0,1.18053243871991
HVI_draw,2,16,0.5,5.05,0.358733468936106,0,0,0.938239552707787
HVI_draw,2,17,0.533333333333333,5.38,0.413767665443429,0,0,1.36731677903072
HVI_draw,2,18,0.566666666666667,5.71,0.351853166971056,0,0,1.30228655245756
HVI_draw,2,19,0.6,6.04,0.450067416809827,0,0,1.6447603310602
HVI_draw,2,20,0.633333333333333,6.37,0.457671227887975,0,0,1.58331451894295
HVI_draw,2,21,0.666666666666667,6.7,0.323339670921012,0,0,1.07717379995726
HVI_draw,2,22,0.7,7.03,0.30892290573572,0,0,1.00487373432273
HVI_draw,2,23,0.733333333333333,7.36,0.324706614010293,0,0,1.28829117315186
HVI_draw,2,24,0.766666666666667,7.69,0.325437891616391,0,0,1.41670993238595
HVI_draw,2,25,0.8,8.02,0.176224715144731,0,0,0.633020865431706
HVI_draw,2,26,0.833333333333333,8.35,0.234644102798849,0,0,1.00483349541194
HVI_draw,2,27,0.866666666666667,8.68,0.265573475741345,0,0,1.0110560700788
HVI_draw,2,28,0.9,9.01,0.199787120976842,0,0,0.417211396974073
HVI_draw,2,29,0.933333333333333,9.34,0.247819743774162,0,0,0.735435541652371
HVI_draw,2,30,0.966666666666667,9.67,0.332432896878709,0,0,1.24536807486537
HVI_draw,2,31,1,10,0.272105276029317,0,0,0.999288377090344
HVI_draw,3,1,0,0.1,0.704236701589499,0,0,2.7640381571916
HVI_draw,3,2,0.0333333333333333,0.43,0.695598346235465,0,0,2.68982356957917
HVI_draw,3,3,0.0666666666666667,0.76,0.689905941495618,0,0,2.56879574247829
HVI_draw,3,4,0.1,1.09,0.689969234196729,0,0,2.39309574273282
HVI_draw,3,5,0.133333333333333,1.42,0.685790774689844,0,0,2.34991904717953
HVI_draw,3,6,0.166666666666667,1.75,0.676187541352319,0,0,2.20614577696323
HVI_draw,3,7,0.2,2.08,0.670102789618282,0,0,2.07779147906868
HVI_draw,3,8,0.233333333333333,2.41,0.659417482274285,0,0,1.9093857972339
HVI_draw,3,9,0.266666666666667,2.74,0.643950913991188,0,0,1.77277121046512
HVI_draw,3,10,0.3,3.07,0.628139616576024,0,0,1.79551717548989
HVI_draw,3,11,0.333333333333333,3.4,0.614480586843216,0,0,1.82215888570663
HVI_draw,3,12,0.366666666666667,3.73,0.603781329738466,0,0,1.62493314499292
HVI_draw,3,13,0.4,4.06,0.599947119759387,0,0,1.66673789250936
HVI_draw,3,14,0.433333333333333,4.39,0.598512569361189,0,0,1.79809221469292
HVI_draw,3,15,0.466666666666667,4.72,0.600332875605939,0,0,1.92016808625538
HVI_draw,3,16,0.5,5.05,0.601785449377954,0,0,1.99661144332259
HVI_draw,3,17,0.533333333333333,5.38,0.603356464789158,0,0,1.84089743642198
HVI_draw,3,18,0.566666666666667,5.71,0.605145346388946,0,0,1.69362415066102
HVI_draw,3,19,0.6,6.04,0.608019764611959,0,0,1.67986222805018
HVI_draw,3,20,0.633333333333333,6.37,0.60978934111712,0,0,1.72056877385947
HVI_draw,3,21,0.666666666666667,6.7,0.610720807496618,0,0,1.78392327116051
HVI_draw,3,22,0.7,7.03,0.611249656954787,0,0,1.70332318530915
HVI_draw,3,23,0.733333333333333,7.36,0.613007583020117,0,0,1.72625653719626
HVI_draw,3,24,0.766666666666667,7.69,0.612789321815994,0,0,1.74191981527868
HVI_draw,3,25,0.8,8.02,0.609727232424548,0,0,1.76859446010775
HVI_draw,3,26,0.833333333333333,8.35,0.604474091534109,0,0,1.82124390698415
