InputPhysical,PositiveHviFraction,MeanNormalizedHvi,MedianNormalizedHvi,P90NormalizedHvi,P99NormalizedHvi,SampledProfileMaximumNormalizedHvi
1.953125,0.39453125,0.0366881186035912,0,0.125069071472865,0.339909167398111,0.662608754628783
1.99375,0.39404296875,0.0364721741996144,0,0.12434566385319,0.337388239975701,0.654743439749833
2.034375,0.39501953125,0.036254860638626,0,0.122730802370906,0.340121430951161,0.646930327235864
2.075,0.39697265625,0.0360450993704271,0,0.121868227770318,0.343126555962747,0.639175202993488
2.115625,0.396484375,0.0358389053255208,0,0.122113347123431,0.346135458700333,0.631483700240237
2.15625,0.39599609375,0.0356387894118852,0,0.121308215654774,0.347279378884401,0.623861288200504
2.196875,0.39599609375,0.0354379836584572,0,0.121052414821194,0.345114337125548,0.616313261178757
2.2375,0.39501953125,0.0352348842341052,0,0.119875599199383,0.342873082168211,0.608844728032423
2.278125,0.39501953125,0.0350362199661274,0,0.119679526342977,0.340560575089589,0.60146060206533
2.31875,0.3955078125,0.0348393214537598,0,0.118431568563207,0.338181884500929,0.594165591359351
2.359375,0.39599609375,0.0346500086409276,0,0.118306036580146,0.33574217550888,0.58696418956472
2.4,0.39599609375,0.0344655484120269,0,0.117997154918389,0.333246698473407,0.58408492850481
2.440625,0.39599609375,0.0342802602312394,0,0.117251308362114,0.329154629032947,0.581673760617098
2.48125,0.39453125,0.0341016928302086,0,0.116269862460247,0.324016174487978,0.579349332722809
2.521875,0.39501953125,0.0339283551252785,0,0.116489637148982,0.31715459552798,0.577115354949894
2.5625,0.39501953125,0.0337615767573299,0,0.116102883520472,0.313142742351098,0.574975277109608
2.603125,0.39404296875,0.033605308039718,0,0.11524436021007,0.312850350271603,0.572932282101825
2.64375,0.39599609375,0.0334495403763441,0,0.114797942980048,0.311292568005124,0.570989279899627
2.684375,0.39697265625,0.0333077079289003,0,0.114760097440687,0.307619494228495,0.569148902126451
2.725,0.39599609375,0.0331761935725151,0,0.115117995653148,0.30518419424856,0.567413497236409
2.765625,0.39599609375,0.0330453557341377,0,0.114244092819453,0.30465936238418,0.56578512630831
2.80625,0.39453125,0.0329194395310526,0,0.11337685584668,0.302409424165546,0.564265559461055
2.846875,0.39453125,0.0328035215527045,0,0.113518974846914,0.300214875398024,0.562856272899095
2.8875,0.396484375,0.0326936757274422,0,0.113510481035169,0.297992700977588,0.561558446592609
2.928125,0.39599609375,0.0325815406738243,0,0.113702945544486,0.295109358941787,0.560372962598117
2.96875,0.396484375,0.0324719393953526,0,0.113037067032505,0.291191799454722,0.559300404021618
3.009375,0.39599609375,0.0323684406659026,0,0.111863083440807,0.288275328510819,0.558341054627558
3.05,0.3955078125,0.032269298164605,0,0.110281149843276,0.287909508362948,0.557494899092106
3.090625,0.396484375,0.0321662650422133,0,0.111284444151852,0.286618237082888,0.556761623901664
3.13125,0.39794921875,0.0320618843475945,0,0.110219466894169,0.285635325598539,0.556140618892248
3.171875,0.39794921875,0.031959537714664,0,0.109268719677613,0.28470589376121,0.555630979427048
3.2125,0.3974609375,0.0318618546964302,0,0.108254089278493,0.283699395824204,0.55523150920591
3.253125,0.39501953125,0.0317747772412628,0,0.109166433008831,0.282820290549754,0.55494072370044
3.29375,0.39501953125,0.0316875145124422,0,0.107774295845019,0.28221417552936,0.554756854205746
3.334375,0.39697265625,0.03159786647102,0,0.107202208301374,0.281034340066826,0.554677852499368
3.375,0.3974609375,0.0315131956340378,0,0.106404366608755,0.279808605977379,0.554701396096953
3.415625,0.3974609375,0.0314411548238531,0,0.106668765270671,0.278537768635857,0.554824894090825
3.45625,0.39794921875,0.0313663715843911,0,0.10672220054528,0.277222698754318,0.555045493559283
3.496875,0.39892578125,0.0312925598637396,0,0.10573419618707,0.274456922905407,0.555360086530554
3.5375,0.3984375,0.0312175164945205,0,0.104957954092156,0.271438460932978,0.555765317486317
3.578125,0.39990234375,0.0311438820640571,0,0.104479459108834,0.269514837669526,0.556257591386851
3.61875,0.39794921875,0.031075607149391,0,0.104530699045591,0.267537466762893,0.556833082200368
3.659375,0.3994140625,0.0310110124604642,0,0.104236236134932,0.265687713790624,0.557487741916955
3.7,0.39794921875,0.0309450290580372,0,0.10463636263342,0.263896767041795,0.558217317546825
3.740625,0.3984375,0.0308887868484215,0,0.104506254692898,0.26064413991741,0.559017355582072
3.78125,0.39892578125,0.0308364718263664,0,0.105316810251049,0.258559579983421,0.559883191690669
3.821875,0.39892578125,0.030783548287209,0,0.105719031339816,0.256480498385722,0.560809980862235
3.8625,0.3994140625,0.0307360481500439,0,0.105515340528776,0.254409404116341,0.561792715941016
3.903125,0.39990234375,0.030687802023045,0,0.105124680207188,0.251233320090538,0.562826230894735
3.94375,0.39794921875,0.0306466075610217,0,0.104374895207125,0.250425233184766,0.563905212627572
3.984375,0.3974609375,0.0306112122192789,0,0.104361355583942,0.248822939000967,0.565024213100908
4.025,0.39599609375,0.0305786820903967,0,0.10368476937367,0.248199267689231,0.566177661738689
4.065625,0.39599609375,0.0305418387817103,0,0.102503955531558,0.24856654362272,0.567359878092308
4.10625,0.39501953125,0.0305037300519186,0,0.103097391405921,0.248963529284366,0.568565084740968
4.146875,0.39697265625,0.0304647238875008,0,0.102685410293224,0.249386619495148,0.569787420402535
4.1875,0.39501953125,0.0304287212059086,0,0.103010814233847,0.247083568874554,0.571020953229728
