ProblemId,Dimension,Replicate,InitialCount,TotalEvaluations,OldFeasibleCount,NewFeasibleCount,OldUniqueFrontCount,NewUniqueFrontCount,InitialHV,OldFinalHV,NewFinalHV,FinalHVDelta,FinalHVChangePct,OldHVGrowth,NewHVGrowth,OldHVAUC,NewHVAUC,HVAUCDelta,HVAUCChangePct,ZeroBaselineHVGain,ZeroBaselineHVAUCGain,NewStrictlyDominatesOldPct,OldStrictlyDominatesNewPct,OldWallTimeSeconds,NewWallTimeSeconds,OldMeanAcquisitionSeconds,NewMeanAcquisitionSeconds,NewPrimarySelections,NewChallengerSelections,NewFallbackSelections,GAEligibleIterations,GAImprovedOverSeedCount,GAReturnedSeedBestCount,GAMeanImprovementOverSeed
CF1_D10,10,2,20,150,78,82,9,10,0.822681989540357,0.935764744386951,0.963182613610109,0.0274178692231586,2.9299959618719,0.113082754846594,0.140500624069752,0.891291032077507,0.909524821295031,0.0182337892175242,2.04577276796145,0,0,0,40,40.8940980000049,75.3445729999989,0.0170663223076923,0.32695571,130,0,0,130,130,0,7.67644482509699
CF1_D10,10,3,20,150,74,86,10,15,0.86898971814197,0.928127816691446,0.994158321256438,0.0660305045649914,7.11437620740367,0.0591380985494766,0.125168603114468,0.912796532135634,0.951833465412595,0.039036933276961,4.27663032260079,0,0,10,53.3333333333333,43.2589600000009,75.736625,0.0175877515384615,0.327837105384615,130,0,0,130,130,0,4.85897748191164
CF1_D10,10,4,20,150,75,82,12,18,0.868152521255496,0.952656072553524,0.971397739225359,0.0187416666718355,1.96730669249815,0.084503551298028,0.103245217969864,0.904179406265283,0.946049244477965,0.0418698382126823,4.63070027060513,0,0,8.33333333333333,38.8888888888889,41.6933069999963,80.7021599999964,0.0174671269230769,0.355893462307692,130,0,0,130,130,0,6.27407102808117
CF1_D10,10,5,20,150,76,80,15,8,0.80580801934815,0.978770580460042,0.925691278597082,-0.0530793018629602,-5.42305857190884,0.172962561111892,0.119883259248932,0.924384877055277,0.878101173475523,-0.046283703579754,-5.00697325633404,0,0,20,75,40.7882299999967,76.8563479999974,0.0166706392307692,0.334563293076923,130,0,0,130,130,0,8.26510789106281
C2DTLZ2_D4_R02,4,1,20,150,53,74,28,36,0.22997368348064,0.498669063623072,0.500647089789511,0.00197802616643911,0.39666109464818,0.268695380142432,0.270673406308871,0.436619681252632,0.439491343397028,0.0028716621443961,0.657703321150687,0,0,50,5.55555555555556,37.3138640000001,58.8965669999942,0.01367496,0.196960396153846,127,2,1,129,118,0,0.014881252694411
C2DTLZ2_D4_R02,4,2,20,150,68,74,30,29,0.333828555696073,0.498401570389107,0.497130858859476,-0.00127071152963071,-0.254957368741566,0.164573014693034,0.163302303163403,0.467529970973494,0.474819678076775,0.00728970710328114,1.55919567853639,0,0,63.3333333333333,3.44827586206897,37.0715209999979,59.2629069999978,0.0129742907692308,0.202627524615385,123,7,0,130,113,0,0.0309857165857029
C2DTLZ2_D4_R02,4,3,20,150,63,79,28,31,0.401094228507533,0.623764650829764,0.628391571445774,0.00462692061600956,0.741773457321537,0.222670422322231,0.227297342938241,0.578806763874174,0.588746282784772,0.0099395189105983,1.71724304741522,0,0,39.2857142857143,0,35.9024560000002,60.8790169999972,0.0127274169230769,0.214187879230769,129,1,0,130,129,0,0.0323347663148452
C2DTLZ2_D4_R02,4,4,20,150,66,71,33,33,0.39121583114585,0.621572312291013,0.62757842701154,0.00600611472052659,0.966277712465833,0.230356481145163,0.23636259586569,0.592315436028388,0.592346820772529,3.13847441407722e-05,0.00529865376313914,0,0,51.5151515151515,6.06060606060606,35.0800439999998,61.7598959999979,0.0122356930769231,0.213458342307692,127,3,0,130,127,0,0.03854779163532
C2DTLZ2_D4_R02,4,5,20,150,82,67,33,39,0.225690878096264,0.369565721714585,0.503966079834021,0.134400358119437,36.3671060984476,0.143874843618321,0.278275201737757,0.343371672059342,0.400492243085407,0.0571205710260648,16.6352019324975,0,0,57.5757575757576,0,35.635,57.8261670000032,0.0123902361538462,0.186678166923077,115,5,10,120,113,0,0.0141086445059544
C2DTLZ2_D6_R02,6,1,20,150,64,71,17,16,0.208401013152559,0.350143060745818,0.360773503532578,0.01063044278676,3.03602840625106,0.141742047593259,0.152372490380019,0.327842944811348,0.343025209960317,0.0151822651489687,4.6309568008868,0,0,76.4705882352941,0,37.3251079999954,57.5241050000042,0.0143424415384615,0.184401410769231,88,4,38,92,84,0,0.0542606586892404
C2DTLZ2_D6_R02,6,2,20,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,13.969574000001,15.2261099999994,0.00951153769230769,0.00871962384615385,0,0,130,0,0,0,NaN
C2DTLZ2_D6_R02,6,3,20,150,35,50,5,5,0,0.269446642013539,0.291506830289567,0.0220601882760282,8.18721959612312,0.269446642013539,0.291506830289567,0.111701265643526,0.123222282729233,0.0115210170857069,10.3141329861688,0,0,100,0,29.4794080000073,44.9021740000024,0.0119939961538462,0.134190098461538,55,0,75,55,55,0,0.0673977612317985
C2DTLZ2_D6_R02,6,4,20,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,14.5370549999997,15.9156719999984,0.00961485230769231,0.00917237615384615,0,0,130,0,0,0,NaN
C2DTLZ2_D6_R02,6,5,20,150,5,9,2,1,0,0.206173528612099,0.262014785593893,0.0558412569817934,27.0845910033653,0.206173528612099,0.262014785593893,0.012188993066676,0.0149444867781194,0.00275549371144342,22.6064097039877,0,0,100,0,17.4336640000045,20.316263000004,0.0103082261538462,0.02964218,9,0,121,9,9,0,0.073578473941484
MW7_D4,4,1,20,150,36,68,21,14,0.315626403350168,0.733499751963239,0.499039942358937,-0.234459809604302,-31.9645383623869,0.417873348613071,0.183413539008768,0.640517220664555,0.477235128680725,-0.16328209198383,-25.4922251449258,0,0,28.5714285714286,0,37.2911610000059,57.1218859999925,0.0131474215384615,0.174483876153846,123,6,1,129,94,0,0.0154327946253313
MW7_D4,4,2,20,150,40,46,21,18,0.261324853390378,0.721757975973595,0.758302009491018,0.0365440335174232,5.06319773856716,0.460433122583217,0.49697715610064,0.62188837697785,0.675839013970438,0.0539506369925881,8.67529270361482,0,0,28.5714285714286,11.1111111111111,36.4188050000072,65.9932349999994,0.0130680823076923,0.241159705384615,127,3,0,130,130,0,0.0310760203067264
MW7_D4,4,3,20,150,45,48,13,12,0,0.494191033654709,0.498312348280356,0.00412131462564697,0.833951720080484,0.494191033654709,0.498312348280356,0.387427691851484,0.388225663532355,0.000797971680871645,0.205966609422834,0,0,23.0769230769231,8.33333333333333,36.3353690000027,54.6745439999998,0.01196467,0.162803824615385,102,6,22,108,96,0,0.00625875071409655
MW7_D4,4,4,20,150,33,22,18,10,0,0.738408892839499,0.67830802776088,-0.0601008650786194,-8.13923906678667,0.738408892839499,0.67830802776088,0.528615630633152,0.389865430217433,-0.138750200415718,-26.2478429269164,0,0,11.1111111111111,40,35.7050230000019,54.0264240000024,0.0123483638461538,0.158046799230769,96,4,30,100,91,0,0.0141318727132269
MW7_D4,4,5,20,150,51,34,14,20,0.344126738362882,0.492698188337136,0.747586951753721,0.254888763416585,51.733245514224,0.148571449974254,0.403460213390839,0.468730189744347,0.684160413008476,0.215430223264129,45.9603900021094,0,0,7.14285714285714,20,37.0804670000002,65.1193320000023,0.0129923230769231,0.23816478,130,0,0,130,130,0,0.0292626387173548
MW7_D6,6,1,20,150,16,8,8,5,0,0.597913612047565,0.503274699346169,-0.0946389127013963,-15.8281916976775,0.597913612047565,0.503274699346169,0.126722606590064,0.105546473987791,-0.0211761326022722,-16.7106194956793,0,0,0,80,24.031574000001,30.9625349999964,0.0111439292307692,0.0631431815384615,22,0,108,22,22,0,0.0699729577158618
MW7_D6,6,2,20,150,53,65,8,12,0.166447086314249,0.447892181145213,0.49645577819573,0.0485635970505174,10.8426981079119,0.281445094830964,0.330008691881481,0.4167466579192,0.46713654012743,0.0503898822082307,12.0912504637291,0,0,50,0,35.501061999999,63.4046710000038,0.01436189,0.228494803846154,117,2,11,119,108,0,0.0486841479197396
MW7_D6,6,3,20,150,11,12,4,4,0,0.433740979907615,0.412866640762248,-0.0208743391453668,-4.81262783835021,0.433740979907615,0.412866640762248,0.0636548609640956,0.060098787157975,-0.00355607380612059,-5.58649214256612,0,0,25,25,21.4606000000015,27.7222430000007,0.0108013969230769,0.0619762838461538,21,0,109,21,21,0,0.0800728426279291
MW7_D6,6,4,20,150,55,31,12,7,0,0.698083883532106,0.462522905215841,-0.235560978316265,-33.7439359184735,0.698083883532106,0.462522905215841,0.510826447713352,0.423097820249667,-0.0877286274636848,-17.1738616620949,0,0,0,71.4285714285714,35.3539849999994,58.6723669999987,0.0141719523076923,0.192911120769231,95,3,32,98,97,0,0.0330470440119245
MW7_D6,6,5,20,150,47,30,12,13,0,0.453043353378381,0.708239093611593,0.255195740233212,56.3292096286584,0.453043353378381,0.708239093611593,0.414117024594876,0.475092406925655,0.0609753823307793,14.7241911608031,0,0,25,15.3846153846154,34.4177850000039,57.7172419999987,0.0142578223076923,0.183875085384615,86,5,39,91,85,0,0.0416646511229733
