RelativePath,Category,Bytes,Sha256,Status,ManuscriptReference,Generator
manuscript/artifacts/ga_primary_challenger/cases/SRN/summary.csv,ga_primary_challenger,1353,17d310abda1f30c62b316656ee622f3db42ca8ee3bf7470c0bbe1b273d0e7c6c,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/cases/SRN/timing.csv,ga_primary_challenger,4250,c5a1c9628c8ce2e877e4c1484ff435374c9b5769107a05bb3ea79d7b4bd43140,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/ga_primary_challenger_summary.csv,ga_primary_challenger,3153,6bb3ad3d354f201adf20d30b4b337fd87e21030d3d10850cdc36eae3bbe6c92b,cited,Table 5,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/ga_primary_search_audit.csv,ga_primary_challenger,755,36d2a71df3d46eeee73f95fba8cd91a03e708696604b4de5c8dab562f09de9d6,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/release_source_manifest.csv,ga_primary_challenger,30615,10dc44b38188043b1ba6f2ca91b2124ce41d71af9138d2762619c5c8dda5fc4d,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/release_source_manifest.json,ga_primary_challenger,49753,3d2047d85888bdc24dc5bc2c839cdaf7e70af43436b862c8d9266a86170f928b,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_challenger/release_source_manifest.sha256,ga_primary_challenger,94,82dddb836c2e54c3c2310a1775f091a920ad3fc9e10db8d3f306ace369f20517,supporting,,src/benchmarks/runReleaseBenchmarks.m
manuscript/artifacts/ga_primary_dimension/README.md,ga_primary_dimension,1337,bad80fff736d31bc307e8e96e65eb7a22aecbb1b7a4baf446508343c3706c714,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/VALIDATION_SUMMARY.txt,ga_primary_dimension,94,ebca4528c4c7b25e2eaed45f22185b91b82a2189e0fb61aecf91225a6f337488,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/aggregate_summary.csv,ga_primary_dimension,10155,a4e43fdc03196b41a71c6d358bd2bfd985733c3d0da14a3badc1f2b0630ef8a1,supporting,,studies/dimension_matched_pof/launch_full_study.m
manuscript/artifacts/ga_primary_dimension/field_metrics.csv,ga_primary_dimension,28872,4aac6525c19e2fc5d45adf0774232ea98d84be1ba43d2bc92fb0205828ba31cf,cited,Table 7 and Figures 9-10,studies/dimension_matched_pof/launch_full_study.m
