Dimension,SampleCount,ConvexHullHV,Log10ConvexHullHV,RelativeToInitialHull,FacetCount,ElapsedSeconds,Status
2,57,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0006868,ok
2,58,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0006364,ok
2,59,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0009436,ok
2,60,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0008965,ok
2,61,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0009035,ok
2,62,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0004952,ok
2,63,0.788982867011337,-0.102932427517099,39.1801552591616,11,0.0008566,ok
2,64,0.794988649883961,-0.0996390717560484,39.4783968500007,12,0.0008093,ok
2,65,0.794988649883961,-0.0996390717560484,39.4783968500007,12,0.0006626,ok
2,66,0.794988649883961,-0.0996390717560484,39.4783968500007,12,0.0008056,ok
2,67,0.794988649883961,-0.0996390717560484,39.4783968500007,12,0.0008118,ok
2,68,0.794988649883961,-0.0996390717560484,39.4783968500007,12,0.0008304,ok
2,69,0.794988649883961,-0.0996390717560484,39.4783968500007,12,0.0009213,ok
2,70,0.821527658378678,-0.0853778105867601,40.7962993251025,10,0.0006491,ok
2,71,0.821527658378678,-0.0853778105867601,40.7962993251025,10,0.0007189,ok
2,72,0.892764528879542,-0.0492630733548725,44.3338560492088,9,0.0008773,ok
2,73,0.892764528879542,-0.0492630733548725,44.3338560492088,9,0.0008049,ok
2,74,0.892764528879542,-0.0492630733548725,44.3338560492088,9,0.0005228,ok
2,75,0.892764528879542,-0.0492630733548725,44.3338560492088,9,0.0008924,ok
2,76,0.892764528879542,-0.0492630733548725,44.3338560492088,9,0.00085,ok
2,77,0.892764528879542,-0.0492630733548725,44.3338560492088,9,0.0007108,ok
2,78,0.892764528879542,-0.0492630733548725,44.3338560492088,9,0.0007638,ok
2,79,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0009231,ok
2,80,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0008881,ok
2,81,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0008651,ok
2,82,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0005199,ok
2,83,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0008116,ok
2,84,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0007624,ok
2,85,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0005682,ok
2,86,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0008302,ok
2,87,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0009585,ok
2,88,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0008424,ok
2,89,0.908271217849775,-0.041784447924436,45.103903799055,9,0.0009659,ok
