Family,Method,Metric,LowDimension,HighDimension,ValidN,LowMedian,HighMedian,MedianDelta,MeanDelta,StdDelta,PositiveDeltaCount,NegativeDeltaCount,ZeroDeltaCount
CF1,clipped_GP_mean,PredictedFeasibleRate,4,10,5,0.245758056640625,0.113269805908203,-0.0993461608886719,-0.108039855957031,0.0261827413787061,0,5,0
CF1,clipped_GP_mean,AmbiguousRate,4,10,5,0.436260223388672,0.153728485107422,-0.309593200683594,-0.279781341552734,0.0585635916016553,0,5,0
CF1,clipped_GP_mean,ZeroMass,4,10,5,0.207790374755859,0.455131530761719,0.237098693847656,0.220345306396484,0.0723199744896916,5,0,0
CF1,clipped_GP_mean,OneMass,4,10,5,0.00852584838867188,0.011993408203125,0.00836944580078125,0.0082977294921875,0.00893497803967197,4,1,0
CF1,offline_RF_proxy,AUC,4,10,5,0.767375865572542,0.692352827128338,-0.0625071789565896,-0.0627679642402553,0.033098170910684,0,5,0
CF1,offline_RF_proxy,AveragePrecision,4,10,5,0.751111676441666,0.722379683648926,-0.029015355387998,-0.0193547859287934,0.0377161498491959,2,3,0
CF1,offline_RF_proxy,Brier,4,10,5,0.2500411250716,0.224097456763509,-0.0238217318221872,-0.0199054299265001,0.0204030045298877,1,4,0
CF1,offline_RF_proxy,BalancedBrier,4,10,5,0.251415972776518,0.222340366075601,-0.029075606700916,-0.0241537857108398,0.0203786377594732,0,5,0
CF1,offline_RF_proxy,ECE10,4,10,5,0.224663120514501,0.0757700648131197,-0.0966817008376751,-0.120174547515849,0.048643982702842,0,5,0
CF1,offline_RF_proxy,BalancedAccuracy,4,10,5,0.60417313808911,0.647557852417626,0.0224761465817402,0.0351906621401141,0.0438403497346159,4,1,0
CF1,offline_RF_proxy,BalancedError,4,10,5,0.39582686191089,0.352442147582374,-0.0224761465817402,-0.035190662140114,0.0438403497346159,1,4,0
CF1,offline_RF_proxy,FalsePositiveRate,4,10,5,0.0618156744182522,0.209268222321944,0.149295614766952,0.125462179397418,0.0692064000491818,5,0,0
CF1,offline_RF_proxy,FalseNegativeRate,4,10,5,0.765769641471603,0.475085910652921,-0.197408616319107,-0.195843503677646,0.131219531013747,0,5,0
CF1,offline_RF_proxy,FalseDiscoveryRate,4,10,5,0.155738934733683,0.255147468002226,0.0994085332685425,0.0837000871759129,0.0813627942021261,4,1,0
CF1,offline_RF_proxy,DomainError,4,10,5,0.393283843994141,0.358318328857422,-0.0116615295410156,-0.0243392944335937,0.046139956912642,1,4,0
CF1,offline_RF_proxy,ConfidentFalsePositiveRate,4,10,5,0.00659225750721739,0.0472305917045964,0.0459424494330712,0.049667502572067,0.0527858878254983,4,1,0
CF1,offline_RF_proxy,ConfidentFalseNegativeRate,4,10,5,0.454855536179333,0.155410915021259,-0.168539888153027,-0.224972840098088,0.116616293020572,0,5,0
CF1,offline_RF_proxy,PredictedFeasibleRate,4,10,5,0.140209197998047,0.384426116943359,0.186920166015625,0.168216705322266,0.0968685238966051,5,0,0
CF1,offline_RF_proxy,AmbiguousRate,4,10,5,0.304454803466797,0.498947143554688,0.194492340087891,0.181478118896484,0.12284388847383,5,0,0
CF1,offline_RF_proxy,ZeroMass,4,10,5,0,0,0,-4.119873046875e-05,9.21231619148168e-05,0,1,4
CF1,offline_RF_proxy,OneMass,4,10,5,0,0,0,0,0,0,0,5
C2DTLZ2_R02,clipped_GP_mean,AUC,4,6,5,0.532180499848863,0.5,-0.0417237349623267,-0.0225525823723332,0.0662452182051967,1,4,0
C2DTLZ2_R02,clipped_GP_mean,AveragePrecision,4,6,5,0.299485766468698,0.0943556033691762,-0.265996137501759,-0.237083825986997,0.124115073086919,0,5,0
C2DTLZ2_R02,clipped_GP_mean,Brier,4,6,5,0.196447397399694,0.0295416866631645,-0.151698472579992,-0.143993123080911,0.0299935110918161,0,5,0
C2DTLZ2_R02,clipped_GP_mean,BalancedBrier,4,6,5,0.252500596104395,0.427149097769957,0.17948306986523,0.180667615976247,0.0629309788977827,5,0,0
C2DTLZ2_R02,clipped_GP_mean,ECE10,4,6,5,0.271972256173584,0.0300431730511024,-0.237899609220163,-0.193598516111418,0.0970175758990874,0,5,0
C2DTLZ2_R02,clipped_GP_mean,BalancedAccuracy,4,6,5,0.59949101147352,0.541365388448391,-0.0757560001378257,-0.0643425369845165,0.0739947815850914,1,4,0
C2DTLZ2_R02,clipped_GP_mean,BalancedError,4,6,5,0.40050898852648,0.458634611551609,0.0757560001378257,0.0643425369845165,0.0739947815850914,4,1,0
C2DTLZ2_R02,clipped_GP_mean,FalsePositiveRate,4,6,5,0.0998504064469996,0.00694313614669681,-0.0998504064469996,-0.0740424444716853,0.0574040043753107,0,5,0
C2DTLZ2_R02,clipped_GP_mean,FalseNegativeRate,4,6,5,0.715526569765741,0.910326086956522,0.266535123035607,0.202727518440718,0.192912045273623,4,1,0
C2DTLZ2_R02,clipped_GP_mean,FalseDiscoveryRate,4,6,3,0.467239909039227,0.728283244133388,0.261043335094161,0.229181783372835,0.0684933929388296,3,0,0
C2DTLZ2_R02,clipped_GP_mean,DomainError,4,6,5,0.162269592285156,0.0323066711425781,-0.134193420410156,-0.126567077636719,0.0383299173819458,0,5,0
C2DTLZ2_R02,clipped_GP_mean,ConfidentFalsePositiveRate,4,6,5,0.0172405473106062,0.00295936950514946,-0.0119943439427231,-0.0091849435492969,0.0112022696882527,2,3,0
C2DTLZ2_R02,clipped_GP_mean,ConfidentFalseNegativeRate,4,6,5,0.357880267891089,0.864402173913044,0.619366537010499,0.555214682098675,0.152986491314046,5,0,0
C2DTLZ2_R02,clipped_GP_mean,PredictedFeasibleRate,4,6,5,0.141819000244141,0.00926589965820312,-0.141819000244141,-0.102399444580078,0.0642056494651783,0,5,0
C2DTLZ2_R02,clipped_GP_mean,AmbiguousRate,4,6,5,0.664909362792969,0.0138587951660156,-0.609615325927734,-0.615863037109375,0.12923054333528,0,5,0
C2DTLZ2_R02,clipped_GP_mean,ZeroMass,4,6,5,0.0400619506835938,0.929412841796875,0.903709411621094,0.733323669433594,0.38629524593346,5,0,0
C2DTLZ2_R02,clipped_GP_mean,OneMass,4,6,5,0.0097808837890625,0.000827789306640625,-0.00804519653320312,-0.00672988891601563,0.00484820064215799,0,5,0
C2DTLZ2_R02,offline_RF_proxy,AUC,4,6,5,0.793557064842346,0.667523961473248,-0.126033103369098,-0.155606114484502,0.137407386981335,1,4,0
C2DTLZ2_R02,offline_RF_proxy,AveragePrecision,4,6,5,0.42263014655007,0.0727302305171174,-0.350396691619938,-0.310316859252324,0.107443358571432,0,5,0
C2DTLZ2_R02,offline_RF_proxy,Brier,4,6,5,0.104790292435065,0.027916380860713,-0.0757155323293306,-0.075958496816454,0.0184627829581144,0,5,0
C2DTLZ2_R02,offline_RF_proxy,BalancedBrier,4,6,5,0.235501519997847,0.450481803523422,0.218684138645167,0.194149200718613,0.10218368882776,5,0,0
C2DTLZ2_R02,offline_RF_proxy,ECE10,4,6,5,0.0848782836318646,0.0214972245065788,-0.0633810591252857,-0.0555225159124024,0.0649233419839532,1,4,0
C2DTLZ2_R02,offline_RF_proxy,BalancedAccuracy,4,6,5,0.636460313115133,0.505462427508928,-0.136460313115133,-0.0996815124680831,0.0921363631801697,1,4,0
C2DTLZ2_R02,offline_RF_proxy,BalancedError,4,6,5,0.363539686884867,0.494537572491072,0.136460313115133,0.0996815124680831,0.0921363631801698,4,1,0
C2DTLZ2_R02,offline_RF_proxy,FalsePositiveRate,4,6,5,0.0715065957157459,0.000624058025621703,-0.0715065957157459,-0.0815970574732768,0.0667468578820229,0,5,0
C2DTLZ2_R02,offline_RF_proxy,FalseNegativeRate,4,6,5,0.655572778053988,0.988451086956522,0.344427221946012,0.280960082409443,0.237542771623886,4,1,0
C2DTLZ2_R02,offline_RF_proxy,FalseDiscoveryRate,4,6,3,0.555564548765682,0.809906133774131,0.154640479827103,0.184044079003128,0.0611499084661438,3,0,0
C2DTLZ2_R02,offline_RF_proxy,DomainError,4,6,5,0.147689819335938,0.0283584594726562,-0.119613647460938,-0.121817016601562,0.0381648070226222,0,5,0
C2DTLZ2_R02,offline_RF_proxy,ConfidentFalsePositiveRate,4,6,5,0.0319059797939031,7.84978648580759e-06,-0.0319059797939031,-0.0318805813021546,0.0253977609426834,0,5,0
C2DTLZ2_R02,offline_RF_proxy,ConfidentFalseNegativeRate,4,6,5,0.44956570058199,0.954755434782609,0.550317316409791,0.475871297710312,0.245771841957487,5,0,0
C2DTLZ2_R02,offline_RF_proxy,PredictedFeasibleRate,4,6,5,0.107105255126953,0.0009307861328125,-0.107105255126953,-0.119220733642578,0.0795365349108062,0,5,0
C2DTLZ2_R02,offline_RF_proxy,AmbiguousRate,4,6,5,0.177864074707031,0.00763320922851562,-0.149631500244141,-0.145314788818359,0.0677663590616103,0,5,0
C2DTLZ2_R02,offline_RF_proxy,ZeroMass,4,6,5,0,0,0,0.0638938903808594,0.129518604976528,2,1,2
C2DTLZ2_R02,offline_RF_proxy,OneMass,4,6,5,0,0,0,3.814697265625e-06,6.60724947955657e-06,2,0,3
MW7,clipped_GP_mean,AUC,4,6,5,0.447523922850182,0.515919687456939,0.00321595928730711,-0.0249774794524274,0.171958695971656,3,2,0
MW7,clipped_GP_mean,AveragePrecision,4,6,5,0.251784347830646,0.0665995047758901,-0.10330746802748,-0.120267676802483,0.127635922533258,1,4,0
MW7,clipped_GP_mean,Brier,4,6,5,0.204704033695162,0.0110345845463361,-0.16643758762729,-0.116614686182732,0.107369871299181,1,4,0
MW7,clipped_GP_mean,BalancedBrier,4,6,5,0.315613346054997,0.417299775406661,0.0817862271042594,0.0878754491961373,0.100721451415234,4,1,0
MW7,clipped_GP_mean,ECE10,4,6,5,0.397959294251994,0.0347930599713747,-0.349912053835297,-0.193658112597454,0.257829125276313,2,3,0
MW7,clipped_GP_mean,BalancedAccuracy,4,6,5,0.6336894170692,0.538144779721943,-0.0305673750287538,-0.0489705621162881,0.0736030345192209,1,4,0
MW7,clipped_GP_mean,BalancedError,4,6,5,0.3663105829308,0.461855220278057,0.030567375028754,0.0489705621162881,0.0736030345192209,4,1,0
MW7,clipped_GP_mean,FalsePositiveRate,4,6,5,0.0154334038054968,0.000955949538149681,-0.0144774542673471,-0.0167390387520883,0.0132714868860829,0,5,0
MW7,clipped_GP_mean,FalseNegativeRate,4,6,5,0.722804260520342,0.922754491017964,0.0646208891802567,0.114680162984665,0.156771778395435,4,1,0
MW7,clipped_GP_mean,FalseDiscoveryRate,4,6,5,0.61944219886823,0.658730158730159,0.0725180375180375,0.0232955684013769,0.255161726792715,3,2,0
MW7,clipped_GP_mean,DomainError,4,6,5,0.049407958984375,0.00682830810546875,-0.0426712036132812,-0.0428802490234375,0.0100318688640372,0,5,0
MW7,clipped_GP_mean,ConfidentFalsePositiveRate,4,6,5,0.00316725836690734,0.000295614917419781,-0.00245562952042576,-0.00237640043515142,0.00295091349070832,1,4,0
MW7,clipped_GP_mean,ConfidentFalseNegativeRate,4,6,5,0.396979221232757,0.861077844311377,0.422191865613979,0.364452174749506,0.346669962063862,4,1,0
MW7,clipped_GP_mean,PredictedFeasibleRate,4,6,5,0.025177001953125,0.00144195556640625,-0.0237350463867188,-0.0262527465820312,0.0163839473426104,0,5,0
MW7,clipped_GP_mean,AmbiguousRate,4,6,5,0.853580474853516,0.00983047485351562,-0.812862396240234,-0.489545440673828,0.521693859049056,2,3,0
MW7,clipped_GP_mean,ZeroMass,4,6,5,0.0253715515136719,0.529537200927734,0.504165649414062,0.428193664550781,0.552401709147868,3,2,0
MW7,clipped_GP_mean,OneMass,4,6,5,0.00223159790039062,8.0108642578125e-05,-0.00157546997070312,-0.00227584838867188,0.0015285958896299,0,5,0
MW7,offline_RF_proxy,AUC,4,6,5,0.804246697309942,0.826428175920095,-0.0260123551949948,0.00922917396394427,0.0611997097514522,2,3,0
MW7,offline_RF_proxy,AveragePrecision,4,6,5,0.303760634072946,0.0780795788272281,-0.111737607692254,-0.166294077120384,0.113635459614907,0,5,0
MW7,offline_RF_proxy,Brier,4,6,5,0.0399999865004784,0.00686949927438398,-0.0331304872260944,-0.0305441461481054,0.0110516511524638,0,5,0
MW7,offline_RF_proxy,BalancedBrier,4,6,5,0.281519806769886,0.407714236958372,0.0368503120534122,0.0807000134952468,0.112359551376298,4,1,0
MW7,offline_RF_proxy,ECE10,4,6,5,0.0498503623689924,0.0166933510795472,-0.0177188772246952,-0.020502320761403,0.047312516832038,2,3,0
MW7,offline_RF_proxy,BalancedAccuracy,4,6,5,0.573223579191729,0.500299401197605,-0.00552193474390283,-0.0196973257696059,0.114135026369935,2,3,0
MW7,offline_RF_proxy,BalancedError,4,6,5,0.426776420808271,0.499700598802395,0.00552193474390278,0.0196973257696059,0.114135026369935,3,2,0
MW7,offline_RF_proxy,FalsePositiveRate,4,6,5,0.00467908572340341,0,-0.00105043617703393,-0.0033048839105801,0.0129988911137748,1,4,0
MW7,offline_RF_proxy,FalseNegativeRate,4,6,5,0.848873755893138,0.99940119760479,0.0111874731417207,0.0426995354497919,0.240503304779304,3,2,0
MW7,offline_RF_proxy,FalseDiscoveryRate,4,6,3,0.403925619834711,0.645454545454546,0.0772727272727273,0.109508714195565,0.337310278989333,2,1,0
MW7,offline_RF_proxy,DomainError,4,6,5,0.0433158874511719,0.00637054443359375,-0.0369491577148438,-0.0346626281738281,0.00966125144141465,0,5,0
MW7,offline_RF_proxy,ConfidentFalsePositiveRate,4,6,5,0.00125254298137141,0,-1.19669711595995e-05,-0.00184261358718734,0.00475979535247614,2,3,0
MW7,offline_RF_proxy,ConfidentFalseNegativeRate,4,6,5,0.658023397939584,0.962874251497006,0.0649346670723508,0.131747463689698,0.248692497278104,3,2,0
MW7,offline_RF_proxy,PredictedFeasibleRate,4,6,5,0.011077880859375,3.814697265625e-06,-0.0018463134765625,-0.00868759155273438,0.0170604238856435,1,4,0
MW7,offline_RF_proxy,AmbiguousRate,4,6,5,0.0331916809082031,0.000453948974609375,-0.0101585388183594,-0.0169883728027344,0.0283767845987396,1,4,0
MW7,offline_RF_proxy,ZeroMass,4,6,5,0,0.346920013427734,0.187034606933594,0.290132141113281,0.294684704265659,4,0,1
MW7,offline_RF_proxy,OneMass,4,6,5,0,0,0,-4.57763671875e-06,1.02359068794241e-05,0,1,4
