Case,SequentialIteration,EvaluationCount,FixedReferenceHypervolume,FractionOfRunFinalHypervolume,FeasibleCount,ReferenceF1,ReferenceF2
WELDEDBEAM,28,48,45.0509098771105,0.988516101918744,26,367.30045,0.127380278502743
WELDEDBEAM,29,49,45.0509098771105,0.988516101918744,27,367.30045,0.127380278502743
WELDEDBEAM,30,50,45.496386956544,0.998290849360182,28,367.30045,0.127380278502743
WELDEDBEAM,31,51,45.496386956544,0.998290849360182,29,367.30045,0.127380278502743
WELDEDBEAM,32,52,45.496386956544,0.998290849360182,30,367.30045,0.127380278502743
WELDEDBEAM,33,53,45.496386956544,0.998290849360182,31,367.30045,0.127380278502743
WELDEDBEAM,34,54,45.496386956544,0.998290849360182,31,367.30045,0.127380278502743
WELDEDBEAM,35,55,45.496386956544,0.998290849360182,31,367.30045,0.127380278502743
WELDEDBEAM,36,56,45.496386956544,0.998290849360182,32,367.30045,0.127380278502743
WELDEDBEAM,37,57,45.4976283094768,0.998318087375254,33,367.30045,0.127380278502743
WELDEDBEAM,38,58,45.4976283094768,0.998318087375254,34,367.30045,0.127380278502743
WELDEDBEAM,39,59,45.4976283094768,0.998318087375254,35,367.30045,0.127380278502743
WELDEDBEAM,40,60,45.4976283094768,0.998318087375254,36,367.30045,0.127380278502743
WELDEDBEAM,41,61,45.5266712566297,0.998955353547817,37,367.30045,0.127380278502743
WELDEDBEAM,42,62,45.5266712566297,0.998955353547817,38,367.30045,0.127380278502743
WELDEDBEAM,43,63,45.5266712566297,0.998955353547817,38,367.30045,0.127380278502743
WELDEDBEAM,44,64,45.5267815713254,0.998957774095,39,367.30045,0.127380278502743
WELDEDBEAM,45,65,45.5267815713254,0.998957774095,40,367.30045,0.127380278502743
WELDEDBEAM,46,66,45.5270797504089,0.998964316800264,41,367.30045,0.127380278502743
WELDEDBEAM,47,67,45.5270797504089,0.998964316800264,42,367.30045,0.127380278502743
WELDEDBEAM,48,68,45.5270797504089,0.998964316800264,43,367.30045,0.127380278502743
WELDEDBEAM,49,69,45.5270797504089,0.998964316800264,44,367.30045,0.127380278502743
WELDEDBEAM,50,70,45.5270797504089,0.998964316800264,45,367.30045,0.127380278502743
WELDEDBEAM,51,71,45.5270797504089,0.998964316800264,46,367.30045,0.127380278502743
WELDEDBEAM,52,72,45.5270797504089,0.998964316800264,47,367.30045,0.127380278502743
WELDEDBEAM,53,73,45.5270797504089,0.998964316800264,47,367.30045,0.127380278502743
WELDEDBEAM,54,74,45.5270797504089,0.998964316800264,48,367.30045,0.127380278502743
WELDEDBEAM,55,75,45.5270797504089,0.998964316800264,49,367.30045,0.127380278502743
WELDEDBEAM,56,76,45.5270797504089,0.998964316800264,50,367.30045,0.127380278502743
WELDEDBEAM,57,77,45.5270797504089,0.998964316800264,50,367.30045,0.127380278502743
WELDEDBEAM,58,78,45.5270797504089,0.998964316800264,51,367.30045,0.127380278502743
WELDEDBEAM,59,79,45.5270797504089,0.998964316800264,52,367.30045,0.127380278502743
WELDEDBEAM,60,80,45.5270797504089,0.998964316800264,53,367.30045,0.127380278502743
WELDEDBEAM,61,81,45.5601749274977,0.999690497814974,54,367.30045,0.127380278502743
WELDEDBEAM,62,82,45.5601749274977,0.999690497814974,55,367.30045,0.127380278502743
WELDEDBEAM,63,83,45.5601749274977,0.999690497814974,56,367.30045,0.127380278502743
WELDEDBEAM,64,84,45.5601749274977,0.999690497814974,56,367.30045,0.127380278502743
WELDEDBEAM,65,85,45.5601749274977,0.999690497814974,57,367.30045,0.127380278502743
WELDEDBEAM,66,86,45.5603617741242,0.999694597641135,58,367.30045,0.127380278502743
WELDEDBEAM,67,87,45.5609788937918,0.999708138604678,59,367.30045,0.127380278502743
WELDEDBEAM,68,88,45.5609788937918,0.999708138604678,60,367.30045,0.127380278502743
WELDEDBEAM,69,89,45.5609788937918,0.999708138604678,61,367.30045,0.127380278502743
WELDEDBEAM,70,90,45.5614930296551,0.999719419876929,62,367.30045,0.127380278502743
WELDEDBEAM,71,91,45.5614930296551,0.999719419876929,62,367.30045,0.127380278502743
WELDEDBEAM,72,92,45.5614930296551,0.999719419876929,63,367.30045,0.127380278502743
WELDEDBEAM,73,93,45.5614930296551,0.999719419876929,63,367.30045,0.127380278502743
WELDEDBEAM,74,94,45.5614930296551,0.999719419876929,64,367.30045,0.127380278502743
WELDEDBEAM,75,95,45.5614930296551,0.999719419876929,64,367.30045,0.127380278502743
WELDEDBEAM,76,96,45.5614930296551,0.999719419876929,64,367.30045,0.127380278502743
